name,url,letter
angel's trumpet,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-840/angels-trumpet,a
angelica archangelica,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-281/angelica-archangelica,a
angostura,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-728/angostura,a
anhydrous crystalline maltose,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1452/anhydrous-crystalline-maltose,a
anise,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-582/anise,a
annatto,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-23/annatto,a
antineoplastons,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1460/antineoplastons,a
antioxidants,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1296/antioxidants,a
apoaequorin,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1486/apoaequorin,a
apple,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-298/apple,a
apple cider vinegar,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-816/apple-cider-vinegar,a
apple polyphenols,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1593/apple-polyphenols,a
apricot,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-952/apricot,a
apricot kernel,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1190/apricot-kernel,a
arabinoxylan,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1455/arabinoxylan,a
arenaria rubra,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-584/arenaria-rubra,a
arimistane - [fast facts],https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1645/arimistane-%5bfast-facts%5d,a
aristolochia,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-583/aristolochia,a
arnica,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-721/arnica,a
arrach,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-31/arrach,a
arrowroot,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-283/arrowroot,a
arsenic,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1226/arsenic,a
artemisia herba-alba,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1156/artemisia-herba-alba,a
artichoke,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-842/artichoke,a
arum,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-209/arum,a
asafoetida,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-248/asafoetida,a
asarabacca,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-861/asarabacca,a
ascophyllum nodosum,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1566/ascophyllum-nodosum,a
ascorbigen,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1168/ascorbigen,a
ash,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-285/ash,a
ashitaba,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1134/ashitaba,a
ashwagandha,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-953/ashwagandha,a
asian water plantain,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-347/asian-water-plantain,a
asparagus,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-286/asparagus,a
asparagus racemosus,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1167/asparagus-racemosus,a
aspartic acid,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-12/aspartic-acid,a
aspen,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-244/aspen,a
astaxanthin,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1063/astaxanthin,a
astragalus,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-963/astragalus,a
atlantic cedar,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1119/atlantic-cedar,a
atractylodes,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1097/atractylodes,a
autumn crocus,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-282/autumn-crocus,a
avens,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-302/avens,a
avocado,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-890/avocado,a
avocado soy unsaponifiables (asu),https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1578/avocado-soy-unsaponifiables-asu,a
avocado sugar extract,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1146/avocado-sugar-extract,a
ayahuasca,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1550/ayahuasca,a
ba ji tian,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-757/ba-ji-tian,b
babassu,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1453/babassu,b
bach flower remedies,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1175/bach-flower-remedies,b
bacillus coagulans,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1185/bacillus-coagulans,b
bacillus subtilis,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1694/bacillus-subtilis,b
bacopa,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-761/bacopa,b
bael,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-164/bael,b
baikal skullcap,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-903/baikal-skullcap,b
bamboo,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-585/bamboo,b
banaba,https://www.webmd.comhttps://www.webmd.com/vitamins/ai/ingredientmono-1089/banaba,b
